VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,1693526525000000,1693527044000000,2,1.74,1,N,79,137,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,1693527474000000,1693528305000000,2,4.28,1,N,79,263,1,19.1,1.0,0.5,4.82,0.0,1.0,28.92,2.5,0.0
1,1693528450000000,1693528788000000,0,0.7,1,Y,249,158,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0
2,1693526888000000,1693528978000000,1,17.71,1,N,132,112,1,67.4,1.0,0.5,12.0,0.0,1.0,83.65,0.0,1.75
2,1693527896000000,1693528140000000,1,1.02,1,N,234,100,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0
2,1693528338000000,1693528763000000,1,1.75,1,N,100,249,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
2,1693528821000000,1693529028000000,1,0.53,1,N,249,158,1,5.8,1.0,0.5,2.7,0.0,1.0,13.5,2.5,0.0
2,1693529368000000,1693529790000000,1,2.31,1,N,249,162,1,10.7,1.0,0.5,0.78,0.0,1.0,16.48,2.5,0.0
2,1693526642000000,1693527034000000,2,1.07,1,N,43,161,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,1693527092000000,1693527265000000,1,0.35,1,N,161,229,1,5.1,1.0,0.5,3.03,0.0,1.0,13.13,2.5,0.0
2,1693527589000000,1693527927000000,1,1.03,1,N,233,161,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,1693528129000000,1693528725000000,1,1.77,1,N,163,239,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0
2,1693529391000000,1693530068000000,1,1.88,1,N,43,68,2,12.8,1.0,0.5,0.0,0.0,1.0,17.8,2.5,0.0
2,1693526965000000,1693527564000000,1,2.35,1,N,230,238,1,12.8,1.0,0.5,3.0,0.0,1.0,20.8,2.5,0.0
2,1693529232000000,1693530011000000,1,2.67,1,N,230,238,2,15.6,1.0,0.5,0.0,0.0,1.0,20.6,2.5,0.0
2,1693528004000000,1693528683000000,2,2.52,1,N,65,195,1,14.2,1.0,0.5,3.34,0.0,1.0,20.04,0.0,0.0
2,1693527771000000,1693527783000000,1,0.0,5,N,265,265,1,150.0,0.0,0.0,45.3,0.0,1.0,196.3,0.0,0.0
2,1693529894000000,1693530715000000,1,2.52,1,N,48,151,1,15.6,1.0,0.5,4.12,0.0,1.0,24.72,2.5,0.0
2,1693528157000000,1693528504000000,1,1.22,1,N,144,234,1,7.9,1.0,0.5,3.23,0.0,1.0,16.13,2.5,0.0
1,1693526937000000,1693528271000000,1,3.9,1,N,164,87,1,20.5,3.5,0.5,5.1,0.0,1.0,30.6,2.5,0.0
1,1693529366000000,1693530552000000,2,7.7,1,Y,237,264,1,33.8,3.5,0.5,3.0,0.0,1.0,41.8,2.5,0.0
2,1693526876000000,1693527944000000,1,3.43,1,N,164,145,2,19.8,1.0,0.5,0.0,0.0,1.0,24.8,2.5,0.0
1,1693526501000000,1693528594000000,1,9.7,99,N,166,3,1,35.5,0.0,0.5,0.0,0.0,1.0,37.0,0.0,0.0
2,1693528511000000,1693528767000000,1,0.72,1,N,162,229,1,6.5,1.0,0.5,1.0,0.0,1.0,12.5,2.5,0.0
1,1693529165000000,1693529642000000,1,1.5,1,N,148,249,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,1693527962000000,1693529300000000,1,4.99,1,N,186,74,1,26.1,1.0,0.5,4.66,0.0,1.0,35.76,2.5,0.0
2,1693527049000000,1693527163000000,1,0.54,1,N,75,238,2,5.1,1.0,0.5,0.0,0.0,1.0,7.6,0.0,0.0
2,1693527537000000,1693527890000000,1,1.16,1,N,43,239,1,7.9,1.0,0.5,3.0,0.0,1.0,15.9,2.5,0.0
1,1693527338000000,1693527700000000,1,0.8,1,N,79,79,1,7.2,3.5,0.5,1.0,0.0,1.0,13.2,2.5,0.0
1,1693527206000000,1693528439000000,1,4.0,1,N,237,179,1,21.2,3.5,0.5,4.0,0.0,1.0,30.2,2.5,0.0
2,1693526910000000,1693527853000000,1,1.94,1,N,68,50,1,15.6,1.0,0.5,4.12,0.0,1.0,24.72,2.5,0.0
2,1693527239000000,1693529691000000,1,23.27,2,N,132,13,1,70.0,0.0,0.5,20.67,6.94,1.0,103.36,2.5,1.75
2,1693528083000000,1693528508000000,1,1.25,1,N,107,90,1,9.3,1.0,0.5,1.0,0.0,1.0,15.3,2.5,0.0
2,1693528844000000,1693529463000000,1,1.81,1,N,163,186,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
1,1693527594000000,1693528334000000,1,4.9,1,N,13,79,2,21.2,3.5,0.5,0.0,0.0,1.0,26.2,2.5,0.0
2,1693526926000000,1693527786000000,2,2.62,1,N,234,211,1,15.6,1.0,0.5,4.12,0.0,1.0,24.72,2.5,0.0
2,1693527921000000,1693528617000000,1,2.97,1,N,211,48,1,14.9,1.0,0.5,1.99,0.0,1.0,21.89,2.5,0.0
2,1693529487000000,1693530391000000,1,3.65,1,N,230,45,1,19.1,1.0,0.5,2.0,0.0,1.0,26.1,2.5,0.0
2,1693526510000000,1693526742000000,1,1.07,1,N,237,236,1,7.2,1.0,0.5,3.05,0.0,1.0,15.25,2.5,0.0
2,1693527350000000,1693527827000000,1,1.84,1,N,237,161,1,10.7,1.0,0.5,3.0,0.0,1.0,18.7,2.5,0.0
2,1693528098000000,1693530194000000,1,7.21,1,N,161,189,2,37.3,1.0,0.5,0.0,0.0,1.0,42.3,2.5,0.0
2,1693528447000000,1693529103000000,2,2.33,1,N,114,164,1,13.5,1.0,0.5,4.62,0.0,1.0,23.12,2.5,0.0
2,1693527681000000,1693527978000000,1,0.82,1,N,164,230,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,1693528372000000,1693528975000000,1,1.51,1,N,48,246,1,11.4,1.0,0.5,1.0,0.0,1.0,17.4,2.5,0.0
2,1693526451000000,1693526994000000,1,2.35,1,N,162,263,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
