VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,1630456704000000,1630457797000000,2.0,9.19,1.0,N,70,230,2,27.0,0.5,0.5,0.0,6.55,0.3,38.6,2.5,1.25
2,1630455329000000,1630455672000000,2.0,1.0,1.0,N,163,48,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,1630456830000000,1630457245000000,2.0,2.2,1.0,N,162,263,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,1630456776000000,1630457235000000,1.0,2.15,1.0,N,137,141,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,1630454925000000,1630455205000000,3.0,0.72,1.0,N,17,217,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,0.0
2,1630456395000000,1630456894000000,2.0,0.98,1.0,N,113,113,1,7.0,0.5,0.5,1.0,0.0,0.3,11.8,2.5,0.0
2,1630457211000000,1630457596000000,2.0,1.18,1.0,N,249,234,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5,0.0
2,1630457767000000,1630458159000000,3.0,1.75,1.0,N,234,48,1,7.5,0.5,0.5,1.0,0.0,0.3,12.3,2.5,0.0
2,1630455544000000,1630456399000000,1.0,1.72,1.0,N,144,79,2,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5,0.0
2,1630454568000000,1630454956000000,3.0,1.61,1.0,N,234,148,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
2,1630455465000000,1630455890000000,2.0,2.21,1.0,N,148,256,2,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5,0.0
2,1630456731000000,1630458608000000,2.0,18.26,2.0,N,132,68,2,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5,1.25
1,1630455638000000,1630456208000000,3.0,1.7,1.0,N,230,229,2,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5,0.0
1,1630456308000000,1630456976000000,1.0,2.6,1.0,N,229,113,2,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5,0.0
1,1630457276000000,1630458936000000,1.0,10.6,1.0,N,79,89,1,32.0,3.0,0.5,7.15,0.0,0.3,42.95,2.5,0.0
1,1630455013000000,1630456962000000,0.0,10.5,1.0,N,79,14,1,33.5,3.0,0.5,5.0,0.0,0.3,42.3,2.5,0.0
1,1630457056000000,1630458111000000,0.0,10.8,1.0,N,14,187,4,30.5,0.5,0.5,0.0,13.1,0.3,44.9,0.0,0.0
2,1630455388000000,1630456683000000,1.0,5.7,1.0,N,107,61,1,19.5,0.5,0.5,6.99,0.0,0.3,30.29,2.5,0.0
2,1630455058000000,1630455514000000,1.0,1.85,1.0,N,144,234,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,1630455702000000,1630455821000000,2.0,0.82,1.0,N,90,186,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,1630456113000000,1630457241000000,1.0,4.83,1.0,N,125,190,1,17.5,0.5,0.5,5.32,0.0,0.3,26.62,2.5,0.0
1,1630454975000000,1630456726000000,1.0,7.0,1.0,N,90,223,1,24.5,3.0,0.5,0.0,0.0,0.3,28.3,2.5,0.0
2,1630455298000000,1630455426000000,1.0,0.86,1.0,N,162,107,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,0.0
2,1630457823000000,1630458845000000,1.0,2.98,1.0,N,68,148,1,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5,0.0
2,1630454480000000,1630456738000000,1.0,7.38,1.0,N,141,173,2,28.5,0.5,0.5,0.0,0.0,0.3,32.3,2.5,0.0
2,1630455883000000,1630540800000000,2.0,5.12,1.0,N,24,68,2,16.5,0.5,0.5,0.0,0.0,0.3,20.3,2.5,0.0
2,1630457086000000,1630457682000000,2.0,2.97,1.0,N,90,261,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5,0.0
2,1630455613000000,1630455789000000,1.0,1.11,1.0,N,186,249,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,1630456121000000,1630456751000000,1.0,3.05,1.0,N,249,237,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5,0.0
2,1630457384000000,1630457601000000,1.0,1.37,1.0,N,234,144,1,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5,0.0
2,1630457753000000,1630458691000000,1.0,3.8,1.0,N,211,49,2,15.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5,0.0
2,1630454578000000,1630455268000000,1.0,2.29,1.0,N,263,238,1,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5,0.0
2,1630457098000000,1630457427000000,1.0,1.56,1.0,N,249,234,1,6.5,0.5,0.5,3.09,0.0,0.3,13.39,2.5,0.0
2,1630457697000000,1630459369000000,1.0,13.22,1.0,N,107,14,1,38.5,0.5,0.5,12.21,6.55,0.3,61.06,2.5,0.0
2,1630454282000000,1630455794000000,1.0,8.71,1.0,N,170,189,1,27.5,0.5,0.5,7.82,0.0,0.3,39.12,2.5,0.0
2,1630456637000000,1630456642000000,1.0,0.0,1.0,N,257,257,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0,0.0
1,1630455191000000,1630455504000000,1.0,0.9,1.0,N,68,100,1,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,1630455510000000,1630455738000000,4.0,0.83,1.0,N,148,4,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
2,1630456244000000,1630456643000000,2.0,1.33,1.0,N,79,234,1,7.0,0.5,0.5,3.24,0.0,0.3,14.04,2.5,0.0
2,1630456740000000,1630457191000000,2.0,2.0,1.0,N,234,162,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
1,1630454520000000,1630455865000000,1.0,6.3,1.0,N,211,151,1,21.5,3.0,0.5,5.05,0.0,0.3,30.35,2.5,0.0
1,1630456402000000,1630457206000000,1.0,2.5,1.0,N,143,162,1,12.0,3.0,0.5,2.0,0.0,0.3,17.8,2.5,0.0
1,1630457318000000,1630458045000000,1.0,3.4,1.0,N,162,231,1,12.5,3.0,0.5,3.25,0.0,0.3,19.55,2.5,0.0
1,1630454662000000,1630454805000000,1.0,0.7,1.0,N,170,186,1,4.5,3.0,0.5,0.7,0.0,0.3,9.0,2.5,0.0
1,1630455102000000,1630455133000000,1.0,0.7,1.0,N,100,100,1,2.5,3.0,0.5,0.02,96.0,0.3,102.32,2.5,0.0
1,1630454642000000,1630455087000000,1.0,1.2,1.0,N,161,233,1,7.0,3.0,0.5,1.0,0.0,0.3,11.8,2.5,0.0
1,1630455924000000,1630456388000000,1.0,2.0,1.0,N,79,261,1,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5,0.0
1,1630456547000000,1630458303000000,1.0,12.9,1.0,N,88,244,1,39.5,3.0,0.5,0.04,0.0,0.3,43.34,2.5,0.0
