VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,1756687428000000,1756687930000000,1,1.4,1,N,186,233,1,9.3,4.25,0.5,3.0,0.0,1.0,18.05,2.5,0.0,0.75
2,1756685908000000,1756686182000000,2,0.73,1,N,68,186,1,6.5,1.0,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75
2,1756685280000000,1756685402000000,2,0.44,1,N,164,164,2,4.4,1.0,0.5,0.0,0.0,1.0,10.15,2.5,0.0,0.75
1,1756685259000000,1756685413000000,2,0.2,1,N,231,125,2,4.4,4.25,0.5,0.0,0.0,1.0,10.15,2.5,0.0,0.75
1,1756685736000000,1756686446000000,2,2.4,1,N,249,50,1,14.9,4.25,0.5,0.0,0.0,1.0,20.65,2.5,0.0,0.75
1,1756687080000000,1756688115000000,3,3.2,1,N,100,4,1,19.1,4.25,0.5,2.0,0.0,1.0,26.85,2.5,0.0,0.75
2,1756685827000000,1756686333000000,2,1.63,1,N,48,216,1,10.7,1.0,0.5,3.29,0.0,1.0,19.74,2.5,0.0,0.75
2,1756687570000000,1756688627000000,1,9.01,1,N,70,49,1,35.2,6.0,0.5,8.54,0.0,1.0,52.99,0.0,1.75,0.0
1,1756686210000000,1756687001000000,1,7.1,1,N,70,75,1,28.9,7.75,0.5,0.0,6.94,1.0,45.09,0.0,1.75,0.0
2,1756686813000000,1756688372000000,1,14.7,1,N,132,145,1,56.2,1.0,0.5,11.74,0.0,1.0,72.19,0.0,1.75,0.0
2,1756685651000000,1756686423000000,1,2.18,1,N,107,125,1,14.2,1.0,0.5,5.0,0.0,1.0,24.95,2.5,0.0,0.75
2,1756686587000000,1756688267000000,1,10.37,1,N,249,69,1,43.6,1.0,0.5,7.4,0.0,1.0,56.75,2.5,0.0,0.75
2,1756685874000000,1756686337000000,1,1.01,1,N,211,79,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75
2,1756687295000000,1756689508000000,1,23.59,1,N,132,228,1,87.7,1.0,0.5,5.0,0.0,1.0,96.95,0.0,1.75,0.0
7,1756686386000000,1756686386000000,2,6.89,1,N,211,7,2,31.0,0.0,0.5,0.0,0.0,1.0,36.75,2.5,0.0,0.75
1,1756685696000000,1756686939000000,2,4.7,1,N,68,112,1,24.7,4.25,0.5,6.0,6.94,1.0,43.39,2.5,0.0,0.75
2,1756685013000000,1756686445000000,1,12.46,1,N,138,40,1,47.8,6.0,0.5,11.06,0.0,1.0,68.11,0.0,1.75,0.0
2,1756686780000000,1756688575000000,2,18.01,2,N,132,186,1,70.0,0.0,0.5,10.0,6.94,1.0,93.44,2.5,1.75,0.75
2,1756687821000000,1756689036000000,1,5.66,1,N,114,256,1,27.5,1.0,0.5,2.0,0.0,1.0,35.25,2.5,0.0,0.75
1,1756685839000000,1756686678000000,1,3.8,1,N,142,74,1,17.7,4.25,0.5,3.51,0.0,1.0,26.96,2.5,0.0,0.75
2,1756684911000000,1756685383000000,1,1.26,1,N,249,79,1,9.3,1.0,0.5,2.71,0.0,1.0,17.76,2.5,0.0,0.75
2,1756685447000000,1756685842000000,1,1.37,1,N,79,90,1,8.6,1.0,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75
1,1756686316000000,1756687186000000,2,3.5,1,N,246,141,1,17.0,4.25,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
1,1756685654000000,1756686160000000,4,1.5,1,N,234,48,3,10.0,4.25,0.5,0.0,0.0,1.0,15.75,2.5,0.0,0.75
1,1756686577000000,1756687612000000,2,4.2,1,N,186,238,1,21.9,4.25,0.5,6.9,0.0,1.0,34.55,2.5,0.0,0.75
1,1756686728000000,1756687622000000,1,4.5,1,N,148,263,1,19.1,4.25,0.5,4.95,0.0,1.0,29.8,2.5,0.0,0.75
2,1756686007000000,1756687388000000,1,8.6,1,N,138,166,1,38.0,6.0,0.5,8.13,6.94,1.0,62.32,0.0,1.75,0.0
2,1756687895000000,1756688588000000,1,0.91,1,N,238,166,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0,0.0
2,1756685514000000,1756685527000000,2,0.0,5,N,265,265,1,100.0,0.0,0.0,0.0,0.0,1.0,101.0,0.0,0.0,0.0
2,1756687810000000,1756688143000000,1,0.94,1,N,79,144,2,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75
2,1756684933000000,1756685388000000,1,1.68,1,N,79,90,1,10.7,1.0,0.5,3.29,0.0,1.0,19.74,2.5,0.0,0.75
2,1756686460000000,1756687265000000,1,3.27,1,N,230,107,1,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
2,1756687702000000,1756688140000000,1,3.01,1,N,79,141,1,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
1,1756685229000000,1756685446000000,1,0.9,1,Y,263,141,1,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0,0.0
1,1756685693000000,1756686014000000,1,1.3,1,Y,141,75,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0,0.0
1,1756687938000000,1756688094000000,1,0.6,1,N,90,90,1,5.1,4.25,0.5,2.15,0.0,1.0,13.0,2.5,0.0,0.75
1,1756688370000000,1756689227000000,2,3.9,1,N,68,237,1,17.7,4.25,0.5,4.65,0.0,1.0,28.1,2.5,0.0,0.75
